sistema,subsistema,propietario,razon_social,rut,central,estado,fecha_puesta_servicio_central,anio_servicio_central,region_nombre,comuna_nombre,cod_unidad,tipo_unidad,fecha_servicio_unidad,unidades,marca_modelo,clasificacion,tipo_de_energia,potencia_bruta_mw,potencia_neta_mw,ley_ernc,medio_generacion,distribuidora,punto_conexion,combustible_1,consumo_1,unidad_1,combustible_2,consumo_2,unidad_2,combustible_3,consumo_3,unidad_3,tipo_turbina_hidraulica,gasto_m3_por_s,caida_m,coord_este_utm,coord_norte_utm,huso_utm,tipo_final,orden,fecha_act
SEN,SING,CERRO DOMINADOR CSP S.A.,,,CSP CERRO DOMINADOR,En Operacion,30/09/2021,2021,Región de Antofagasta,María Elena,,,,1,,ERNC,Solar-CSP,"114,40","108,27",Si,Instalaciones de generación,NO APLICA,ID 2811-BA S/E CERRO DOMINADOR 220KV BP,,,,,,,,,,,,,450672.00,7481162.00,19 K,Concentración Solar de Potencia,3,12/10/2021
SEN,SING,GEOTÉRMICA DEL NORTE S.A.,,96.971.330-6,GEO CERRO PABELLON,En Operacion,31/05/2019,2019,Región de Antofagasta,Ollagüe,,,,2,,ERNC,Geotérmica,"44,91","39,70",Si,Instalaciones de generación,NO APLICA,ID 2583 BA S/E CERRO PABELLÓN 200KV BP1,,,,,,,,,,,,,587704.27,7582720.94,19K,Geotérmica,3,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HE ANGOSTURA,En Operacion,01/04/2014,2014,Región del Biobío,Santa Bárbara,,,,3,,Convencional,Hidráulica Pasada,"323,80","321,00",No,Instalaciones de generación,NO APLICA,S/E CENTRAL ANGOSTURA 220KV,,,,,,,,,,,,,251712.84,5822359.45,19H,Hidráulica de Pasada,10,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HE ANTUCO,En Operacion,01/01/1981,1981,Región del Biobío,Tucapel,,,,2,,Convencional,Hidráulica Pasada,"320,00","319,17",No,Instalaciones de generación,NO APLICA,S/E ANTUCO 220KV,,,,,,,,,,,,,267200.25,5867506.41,19H,Hidráulica de Pasada,10,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HE CANUTILLAR,En Operacion,01/01/1990,1990,Región de Los Lagos,Cochamó,,,,2,,Convencional,Hidráulica Embalse,"172,00","171,57",No,Instalaciones de generación,NO APLICA,S/E CENTRAL CANUTILLAR 220KV,,,,,,,,,,,,,"721777,5495","5399336,144",18G,Hidráulica de Embalse,14,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HE CIPRESES,En Operacion,01/01/1955,1955,Región del Maule,San Clemente,,,,3,,Convencional,Hidráulica Embalse,"106,00","105,82",No,Instalaciones de generación,NO APLICA,S/E CIPRESES 154KV B1,,,,,,,,,,,,,336636.74,6038216.74,19H,Hidráulica de Embalse,9,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HE COLBUN,En Operacion,01/01/1985,1985,Región del Maule,Colbún,,,,2,,Convencional,Hidráulica Embalse,"467,30","460,80",No,Instalaciones de generación,NO APLICA,S/E COLBUN 220KV,,,,,,,,,,,,,287758.57,6049943.42,19H,Hidráulica de Embalse,9,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HE EL TORO,En Operacion,01/01/1973,1973,Región del Biobío,Antuco,,,,4,,Convencional,Hidráulica Embalse,"450,00","448,74",No,Instalaciones de generación,NO APLICA,S/E CENTRAL EL TORO 220KV B1,,,,,,,,,,,,,279180.91,5869694.55,19H,Hidráulica de Embalse,10,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HE MACHICURA,En Operacion,01/01/1985,1985,Región del Maule,Colbún,,,,2,,Convencional,Hidráulica Embalse,"95,00","94,76",No,Instalaciones de generación,NO APLICA,S/E MACHICURA 220KV,,,,,,,,,,,,,"283144,297","6043076,017",19H,Hidráulica de Embalse,9,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HE PANGUE,En Operacion,01/01/1996,1996,Región del Biobío,Alto Biobío,,,,2,,Convencional,Hidráulica Embalse,"467,00","465,83",No,Instalaciones de generación,NO APLICA,S/E CENTRAL PANGUE 220KV,,,,,,,,,,,,,"270363,9968","5800866,019",19H,Hidráulica de Embalse,10,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA PEHUENCHE S.A.,,96.504.980-0,HE PEHUENCHE,En Operacion,01/01/1991,1991,Región del Maule,Colbún,,,,2,,Convencional,Hidráulica Embalse,"570,00","568,29",No,Instalaciones de generación,NO APLICA,S/E CENTRAL PEHUENCHE 220KV B1,,,,,,,,,,,,,"308640,5961","6045796,012",19H,Hidráulica de Embalse,9,12/10/2021
SEN,SIC,ENEL GREEN POWER CHILE S.A.,,76.412.562-2,HE PILMAIQUEN,En Operacion,01/01/1944,1944,Región de Los Ríos,Río Bueno,,,,5,,Convencional,Hidráulica Pasada,"40,80","40,68",No,Instalaciones de generación,NO APLICA,S/E CENTRAL PILMAIQUEN 66KV,,,,,,,,,,,,,"698751,9502","5498760,806",18G,Hidráulica de Pasada,13,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HE RALCO,En Operacion,06/09/2004,2004,Región del Biobío,Alto Biobío,,,,2,,Convencional,Hidráulica Embalse,"690,00","688,97",No,Instalaciones de generación,NO APLICA,S/E CENTRAL RALCO 220KV,,,,,,,,,,,,,"282373,2068","5786143,331",19H,Hidráulica de Embalse,10,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HE RAPEL,En Operacion,01/01/1968,1968,Región del Libertador Gral. Bernardo O’Higgins,Litueche,,,,5,,Convencional,Hidráulica Embalse,"378,00","376,64",No,Instalaciones de generación,NO APLICA,S/E  RAPEL 220KV B1,,,,,,,,,,,,,"261017,0025","6230244,021",19H,Hidráulica de Embalse,8,12/10/2021
SEN,SIC,ENEL GENERACIÓN CHILE S.A.,,91.081.000-6,HP ABANICO,En Operacion,01/01/1948,1948,Región del Biobío,Antuco,,,,4,,Convencional,Hidráulica Pasada,"93,00","92,71",No,Instalaciones de generación,NO APLICA,S/E ABANICO 154KV,,,,,,,,,,,,,279542.74,5861815.15,19H,Hidráulica de Pasada,10,12/10/2021
SEN,SIC,AES ANDES S.A.,,94.272.000-9,HP ALFALFAL,En Operacion,01/01/1991,1991,Región Metropolitana de Santiago,San José de Maipo,,,,2,,Convencional,Hidráulica Pasada,"178,00","177,56",No,Instalaciones de generación,NO APLICA,S/E CENTRAL ALFALFAL 220KV,,,,,,,,,,,,,389218.00,6292506.00,19H,Hidráulica de Pasada,7,12/10/2021
SEN,SIC,ESPINOS S.A.,,76.925.800-0,HP ALTO RENAICO,En Operacion,19/11/2018,2018,Región del Biobío,Mulchén,,,,1,,ERNC,Mini Hidráulica Pasada,"1,40","1,38",Si,Pequeños medio de generación o PMG,NO APLICA,TAP OFF ALTO RENAICO,,,,,,,,,,,,,"728594,0004","5813182,018",18H,Mini Hidráulica de Pasada,10,12/10/2021
SEN,SIC,HIDROELÉCTRICA EMBALSE ANCOA SPA,,,HP ANCOA,En Operacion,16/02/2018,2018,Región del Maule,Colbún,,,,2,,Convencional,Hidráulica Pasada,"24,66","24,11",No,Instalaciones de generación,NO APLICA,TAP OFF PUTAGÁN 66 KV,,,,,,,,,,,,,302526.11,6030183.32,19H,Hidráulica de Pasada,9,12/10/2021
SEN,SIC,COLBÚN S.A.,,96.505.760-9,HP BLANCO,En Operacion,01/01/1993,1993,Región de Valparaíso,Los Andes,,,,1,,Convencional,Hidráulica Pasada,"53,00","52,87",No,Instalaciones de generación,NO APLICA,S/E ACONCAGUA 110KV,,,,,,,,,,,,,"375739,9989","6357126,019",19H,Hidráulica de Pasada,6,12/10/2021
SEN,SIC,HIDROENERSUR S.A.,,76.003.174-7,HP CALLAO,En Operacion,14/09/2012,2012,Región de Los Lagos,Puerto Octay,,,,2,,ERNC,Mini Hidráulica Pasada,"3,30","3,29",Si,Pequeños medio de generación o PMG,NO APLICA,S/E RIO BONITO,,,,,,,,,,,,,"724252,0005","5470282,018",18G,Mini Hidráulica de Pasada,14,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA CAPULLO S.A.,,96.637.520-5,HP CAPULLO,En Operacion,01/01/1995,1995,Región de Los Lagos,Puyehue,,,,1,,ERNC,Mini Hidráulica Pasada,"12,00","11,84",Si,Instalaciones de generación,NO APLICA,S/E PULELFU 66KV,,,,,,,,,,,,,719278.24,5478087.96,18G,Mini Hidráulica de Pasada,14,12/10/2021
SEN,SIC,EMPRESA ELÉCTRICA INDUSTRIAL S.A.,,96.854.000-9,HP CARENA,En Operacion,01/01/1943,1943,Región Metropolitana de Santiago,Curacaví,,,,4,,ERNC,Mini Hidráulica Pasada,"10,00","8,40",Si,Instalaciones de generación,NO APLICA,S/E CARENA 44KV,,,,,,,,,,,,,"318658,9719","6288406,03",19H,Mini Hidráulica de Pasada,7,12/10/2021
